split,speaker,emotion,wav_path,duration,duration_hms
none,ketts2-20m,angry,27,301.83900000000006,"(0, 5, 2)"
none,ketts2-20m,disgusted,56,650.3310000000002,"(0, 10, 50)"
none,ketts2-20m,fearful,63,745.922,"(0, 12, 26)"
none,ketts2-20m,happy,33,364.104,"(0, 6, 4)"
none,ketts2-20m,neutral,37,420.85100000000006,"(0, 7, 1)"
none,ketts2-20m,sad,82,1000.789,"(0, 16, 41)"
none,ketts2-20m,surprised,29,321.55000000000007,"(0, 5, 22)"
none,ketts2-30f,angry,14,152.475,"(0, 2, 32)"
none,ketts2-30f,disgusted,24,262.303,"(0, 4, 22)"
none,ketts2-30f,fearful,16,173.878,"(0, 2, 54)"
none,ketts2-30f,happy,32,357.0190000000001,"(0, 5, 57)"
none,ketts2-30f,neutral,11,117.40500000000002,"(0, 1, 57)"
none,ketts2-30f,sad,60,712.3679999999999,"(0, 11, 52)"
none,ketts2-30f,surprised,16,175.364,"(0, 2, 55)"
none,ketts2-40m,angry,30,332.76300000000003,"(0, 5, 33)"
none,ketts2-40m,disgusted,42,473.3359999999999,"(0, 7, 53)"
none,ketts2-40m,fearful,69,839.5730000000002,"(0, 13, 60)"
none,ketts2-40m,happy,38,424.0749999999999,"(0, 7, 4)"
none,ketts2-40m,neutral,43,497.04299999999995,"(0, 8, 17)"
none,ketts2-40m,sad,69,835.4000000000001,"(0, 13, 55)"
none,ketts2-40m,surprised,36,400.1069999999999,"(0, 6, 40)"
none,ketts2-50f,angry,63,761.084,"(0, 12, 41)"
none,ketts2-50f,disgusted,74,899.7530000000002,"(0, 14, 60)"
none,ketts2-50f,fearful,142,1868.285,"(0, 31, 8)"
none,ketts2-50f,happy,72,879.867,"(0, 14, 40)"
none,ketts2-50f,neutral,69,863.2289999999995,"(0, 14, 23)"
none,ketts2-50f,sad,119,1522.5459999999998,"(0, 25, 23)"
none,ketts2-50f,surprised,83,1003.0609999999997,"(0, 16, 43)"
none,ketts2-50m,angry,19,207.33,"(0, 3, 27)"
none,ketts2-50m,disgusted,27,296.09,"(0, 4, 56)"
none,ketts2-50m,fearful,19,208.22000000000003,"(0, 3, 28)"
none,ketts2-50m,happy,24,258.83000000000004,"(0, 4, 19)"
none,ketts2-50m,neutral,20,213.32,"(0, 3, 33)"
none,ketts2-50m,sad,34,371.412,"(0, 6, 11)"
none,ketts2-50m,surprised,21,221.22999999999996,"(0, 3, 41)"
none,ketts2-60f,angry,38,427.2920000000001,"(0, 7, 7)"
none,ketts2-60f,disgusted,30,337.193,"(0, 5, 37)"
none,ketts2-60f,fearful,50,576.9269999999999,"(0, 9, 37)"
none,ketts2-60f,happy,68,827.4630000000001,"(0, 13, 47)"
none,ketts2-60f,neutral,67,839.1620000000001,"(0, 13, 59)"
none,ketts2-60f,sad,85,1058.0830000000003,"(0, 17, 38)"
none,ketts2-60f,surprised,25,270.91499999999996,"(0, 4, 31)"
test,ketts2-20m,angry,10,49.123999999999995,"(0, 0, 49)"
test,ketts2-20m,disgusted,10,60.41499999999999,"(0, 1, 0)"
test,ketts2-20m,fearful,10,65.43,"(0, 1, 5)"
test,ketts2-20m,happy,10,63.458999999999996,"(0, 1, 3)"
test,ketts2-20m,neutral,10,58.026,"(0, 0, 58)"
test,ketts2-20m,sad,10,67.015,"(0, 1, 7)"
test,ketts2-20m,surprised,10,48.174,"(0, 0, 48)"
test,ketts2-30f,angry,10,54.982,"(0, 0, 55)"
test,ketts2-30f,disgusted,10,45.323,"(0, 0, 45)"
test,ketts2-30f,fearful,10,48.294999999999995,"(0, 0, 48)"
test,ketts2-30f,happy,10,55.032,"(0, 0, 55)"
test,ketts2-30f,neutral,10,48.294999999999995,"(0, 0, 48)"
test,ketts2-30f,sad,10,57.95400000000001,"(0, 0, 58)"
test,ketts2-30f,surprised,10,54.983000000000004,"(0, 0, 55)"
test,ketts2-40m,angry,10,66.09299999999999,"(0, 1, 6)"
test,ketts2-40m,disgusted,10,46.406000000000006,"(0, 0, 46)"
test,ketts2-40m,fearful,10,58.391999999999996,"(0, 0, 58)"
test,ketts2-40m,happy,10,56.812,"(0, 0, 57)"
test,ketts2-40m,neutral,10,67.473,"(0, 1, 7)"
test,ketts2-40m,sad,10,63.826,"(0, 1, 4)"
test,ketts2-40m,surprised,10,57.585,"(0, 0, 58)"
test,ketts2-50f,angry,10,50.293,"(0, 0, 50)"
test,ketts2-50f,disgusted,10,56.59700000000001,"(0, 0, 57)"
test,ketts2-50f,fearful,10,68.763,"(0, 1, 9)"
test,ketts2-50f,happy,10,61.056,"(0, 1, 1)"
test,ketts2-50f,neutral,10,66.08599999999998,"(0, 1, 6)"
test,ketts2-50f,sad,10,77.465,"(0, 1, 17)"
test,ketts2-50f,surprised,10,60.81099999999999,"(0, 1, 1)"
test,ketts2-50m,angry,10,47.6,"(0, 0, 48)"
test,ketts2-50m,disgusted,10,61.47999999999999,"(0, 1, 1)"
test,ketts2-50m,fearful,10,53.190000000000005,"(0, 0, 53)"
test,ketts2-50m,happy,10,49.00999999999999,"(0, 0, 49)"
test,ketts2-50m,neutral,10,47.11000000000001,"(0, 0, 47)"
test,ketts2-50m,sad,10,66.67,"(0, 1, 7)"
test,ketts2-50m,surprised,10,55.470000000000006,"(0, 0, 55)"
test,ketts2-60f,angry,10,55.248,"(0, 0, 55)"
test,ketts2-60f,disgusted,10,61.68600000000001,"(0, 1, 2)"
test,ketts2-60f,fearful,10,54.49100000000001,"(0, 0, 54)"
test,ketts2-60f,happy,10,64.75800000000001,"(0, 1, 5)"
test,ketts2-60f,neutral,10,59.68900000000001,"(0, 0, 60)"
test,ketts2-60f,sad,10,70.47800000000001,"(0, 1, 10)"
test,ketts2-60f,surprised,10,47.12499999999999,"(0, 0, 47)"
train,ketts2-20m,angry,453,2600.299999999997,"(0, 43, 20)"
train,ketts2-20m,disgusted,424,2654.7149999999992,"(0, 44, 15)"
train,ketts2-20m,fearful,417,2727.0140000000006,"(0, 45, 27)"
train,ketts2-20m,happy,447,2491.25,"(0, 41, 31)"
train,ketts2-20m,neutral,443,2608.8019999999997,"(0, 43, 29)"
train,ketts2-20m,sad,398,2705.714000000002,"(0, 45, 6)"
train,ketts2-20m,surprised,451,2527.811000000002,"(0, 42, 8)"
train,ketts2-30f,angry,466,2350.122000000003,"(0, 39, 10)"
train,ketts2-30f,disgusted,456,2418.4770000000017,"(0, 40, 18)"
train,ketts2-30f,fearful,464,2341.406000000003,"(0, 39, 1)"
train,ketts2-30f,happy,448,2526.271,"(0, 42, 6)"
train,ketts2-30f,neutral,469,2381.1540000000014,"(0, 39, 41)"
train,ketts2-30f,sad,420,2445.2239999999993,"(0, 40, 45)"
train,ketts2-30f,surprised,464,2434.6380000000013,"(0, 40, 35)"
train,ketts2-40m,angry,450,2494.176999999999,"(0, 41, 34)"
train,ketts2-40m,disgusted,438,2520.4720000000034,"(0, 42, 0)"
train,ketts2-40m,fearful,411,2681.575999999999,"(0, 44, 42)"
train,ketts2-40m,happy,442,2471.9520000000007,"(0, 41, 12)"
train,ketts2-40m,neutral,437,2623.678000000002,"(0, 43, 44)"
train,ketts2-40m,sad,411,2648.2070000000044,"(0, 44, 8)"
train,ketts2-40m,surprised,444,2497.4370000000004,"(0, 41, 37)"
train,ketts2-50f,angry,417,2568.748000000002,"(0, 42, 49)"
train,ketts2-50f,disgusted,406,2570.523000000002,"(0, 42, 51)"
train,ketts2-50f,fearful,338,2525.025,"(0, 42, 5)"
train,ketts2-50f,happy,408,2579.7320000000004,"(0, 42, 60)"
train,ketts2-50f,neutral,411,2626.5799999999986,"(0, 43, 47)"
train,ketts2-50f,sad,361,2557.6950000000006,"(0, 42, 38)"
train,ketts2-50f,surprised,397,2494.3939999999993,"(0, 41, 34)"
train,ketts2-50m,angry,461,2441.600000000002,"(0, 40, 42)"
train,ketts2-50m,disgusted,453,2481.299999999997,"(0, 41, 21)"
train,ketts2-50m,fearful,461,2410.5769999999984,"(0, 40, 11)"
train,ketts2-50m,happy,456,2444.5039999999967,"(0, 40, 45)"
train,ketts2-50m,neutral,460,2434.1500000000005,"(0, 40, 34)"
train,ketts2-50m,sad,446,2463.199999999999,"(0, 41, 3)"
train,ketts2-50m,surprised,459,2344.140999999999,"(0, 39, 4)"
train,ketts2-60f,angry,442,2436.5679999999998,"(0, 40, 37)"
train,ketts2-60f,disgusted,450,2423.503000000001,"(0, 40, 24)"
train,ketts2-60f,fearful,430,2464.6680000000015,"(0, 41, 5)"
train,ketts2-60f,happy,412,2573.679,"(0, 42, 54)"
train,ketts2-60f,neutral,413,2760.755,"(0, 46, 1)"
train,ketts2-60f,sad,395,2577.921000000001,"(0, 42, 58)"
train,ketts2-60f,surprised,455,2401.294000000003,"(0, 40, 1)"
val,ketts2-20m,angry,10,48.374,"(0, 0, 48)"
val,ketts2-20m,disgusted,10,62.92899999999999,"(0, 1, 3)"
val,ketts2-20m,fearful,10,65.24,"(0, 1, 5)"
val,ketts2-20m,happy,10,54.52400000000001,"(0, 0, 55)"
val,ketts2-20m,neutral,10,52.13799999999999,"(0, 0, 52)"
val,ketts2-20m,sad,10,69.031,"(0, 1, 9)"
val,ketts2-20m,surprised,10,58.79600000000001,"(0, 0, 59)"
val,ketts2-30f,angry,10,51.266999999999996,"(0, 0, 51)"
val,ketts2-30f,disgusted,10,44.58,"(0, 0, 45)"
val,ketts2-30f,fearful,10,53.497,"(0, 0, 53)"
val,ketts2-30f,happy,10,57.31899999999999,"(0, 0, 57)"
val,ketts2-30f,neutral,10,49.781,"(0, 0, 50)"
val,ketts2-30f,sad,10,59.441,"(0, 0, 59)"
val,ketts2-30f,surprised,10,71.55099999999999,"(0, 1, 12)"
val,ketts2-40m,angry,10,55.661,"(0, 0, 56)"
val,ketts2-40m,disgusted,10,50.132999999999996,"(0, 0, 50)"
val,ketts2-40m,fearful,10,64.45,"(0, 1, 4)"
val,ketts2-40m,happy,10,61.729,"(0, 1, 2)"
val,ketts2-40m,neutral,10,59.687000000000005,"(0, 0, 60)"
val,ketts2-40m,sad,10,67.64099999999999,"(0, 1, 8)"
val,ketts2-40m,surprised,10,50.281,"(0, 0, 50)"
val,ketts2-50f,angry,10,61.483,"(0, 1, 1)"
val,ketts2-50f,disgusted,10,67.48799999999999,"(0, 1, 7)"
val,ketts2-50f,fearful,10,74.778,"(0, 1, 15)"
val,ketts2-50f,happy,10,63.64799999999999,"(0, 1, 4)"
val,ketts2-50f,neutral,10,71.85099999999998,"(0, 1, 12)"
val,ketts2-50f,sad,10,71.025,"(0, 1, 11)"
val,ketts2-50f,surprised,10,63.984,"(0, 1, 4)"
val,ketts2-50m,angry,10,45.83999999999999,"(0, 0, 46)"
val,ketts2-50m,disgusted,10,47.309999999999995,"(0, 0, 47)"
val,ketts2-50m,fearful,10,55.75999999999999,"(0, 0, 56)"
val,ketts2-50m,happy,10,46.733000000000004,"(0, 0, 47)"
val,ketts2-50m,neutral,10,56.31,"(0, 0, 56)"
val,ketts2-50m,sad,10,51.26,"(0, 0, 51)"
val,ketts2-50m,surprised,10,50.36000000000001,"(0, 0, 50)"
val,ketts2-60f,angry,10,49.058,"(0, 0, 49)"
val,ketts2-60f,disgusted,10,46.826,"(0, 0, 47)"
val,ketts2-60f,fearful,10,51.251999999999995,"(0, 0, 51)"
val,ketts2-60f,happy,10,58.619,"(0, 0, 59)"
val,ketts2-60f,neutral,10,70.715,"(0, 1, 11)"
val,ketts2-60f,sad,10,71.602,"(0, 1, 12)"
val,ketts2-60f,surprised,10,72.725,"(0, 1, 13)"
